Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-05-02,Elena,2012,https://boxd.it/17uy3p,3.5,,off,2015-07-12
2020-05-02,Elena,2012,https://boxd.it/17uy3p,3.5,,off,2015-07-12
2020-05-02,The Starfish,1928,https://boxd.it/17uZhj,5,,off,2016-10-12
2020-05-02,The Broken Circle Breakdown,2012,https://boxd.it/17uZV9,4,,off,2017-04-20
2020-05-02,I Travel Because I Have to I Come Back Because I Love You,2009,https://boxd.it/17v0Et,4,,off,2017-08-31
2020-05-02,Frances Ha,2012,https://boxd.it/17v13X,4.5,,off,2017-11-04
2020-05-02,Trainspotting,1996,https://boxd.it/17uIMf,3.5,,,2017-11-19
2020-05-02,Call Me by Your Name,2017,https://boxd.it/17v2SH,3.5,,off,2018-02-10
2020-05-02,Good Manners,2017,https://boxd.it/17v3md,3.5,,off,2018-08-18
2020-05-02,Talking Heads,1980,https://boxd.it/17v3RF,5,,off,2018-10-10
2020-05-02,Rat Fever,2012,https://boxd.it/17v4rX,5,,off,2019-01-18
2020-05-02,Brasil Impossível,2018,https://boxd.it/17v7H5,5,,,2019-01-30
2020-05-02,Coffee with Cinnamon,2017,https://boxd.it/17v4LD,4.5,,off,2019-02-27
2020-05-02,It’s Never Nighttime in the Map,2016,https://boxd.it/17vztb,4.5,,vimeo,2019-03-10
2020-05-02,Que Som Tem a Distância?,2018,https://boxd.it/17v82x,3.5,,,2019-03-22
2020-05-02,The Comforting Hand,2012,https://boxd.it/17v8yX,4,,,2019-04-03
2020-05-02,The Handmaiden,2016,https://boxd.it/17v93h,5,,off,2019-04-21
2020-05-02,Rend Your Heart,2018,https://boxd.it/17vhJZ,2.5,,tv,2019-04-27
2020-05-02,Oldboy,2003,https://boxd.it/17vhSx,4,,off,2019-04-29
2020-05-02,Bacurau,2019,https://boxd.it/17vfgh,4,,cinema,2019-09-01
2020-05-02,Letrux em Noite de Climão: Ao Vivo,2019,https://boxd.it/17xApt,3,,,2020-01-05
2020-05-02,Happy Together,1997,https://boxd.it/17viJ7,5,,off,2020-03-15
2020-05-02,The State of Things,1982,https://boxd.it/17w0bt,4,,off,2020-03-17
2020-05-02,Midsommar,2019,https://boxd.it/17viYh,4,,primevideo,2020-03-20
2020-05-02,The Other End,2016,https://boxd.it/17vi4j,0.5,,netflix,2020-03-22
2020-05-02,Painted Fire,2002,https://boxd.it/17w0WJ,3.5,,,2020-03-28
2020-05-02,Three Colours: Blue,1993,https://boxd.it/17w1QH,4,,medeiafilmes,2020-03-31
2020-05-02,Three Colours: White,1994,https://boxd.it/17w2BD,3.5,,medeiafilmes,2020-04-02
2020-05-02,Three Colours: Red,1994,https://boxd.it/17w2aH,4,,medeiafilmes,2020-04-04
2020-05-02,Frantz,2016,https://boxd.it/17w3GJ,4,,medeiafilmes,2020-04-07
2020-05-02,Bacurau no Mapa,2019,https://boxd.it/17vf2f,2,,tv,2020-04-11
2020-05-02,Love Songs,2007,https://boxd.it/17w47Z,1,,,2020-04-11
2020-05-02,Donnie Darko,2001,https://boxd.it/17vc2h,2,,primevideo,2020-04-14
2020-05-02,Rome Open City,1945,https://boxd.it/17w56X,3,,medeiafilmes,2020-04-14
2020-05-02,The Impassive Muse,2011,https://boxd.it/17vSE3,3,,primevideo,2020-04-15
2020-05-02,Lulu's Dream,2010,https://boxd.it/17vR3F,3,,,2020-04-16
2020-05-02,Aluga-se,2012,https://boxd.it/17vRe9,3,,,2020-04-16
2020-05-02,Nostalgia,1983,https://boxd.it/17vjrD,4,,off,2020-04-18
2020-05-02,Pulp Fiction,1994,https://boxd.it/17vbyr,4,,,2020-04-21
2020-05-02,A Triste Figura,2018,https://boxd.it/17vCkL,2,,,2020-04-22
2020-05-02,Um Dia é da Vida o Outro da Morte,2017,https://boxd.it/17vDwX,1,,,2020-04-22
2020-05-02,A Noite Mais Longa de Minha Vida,2016,https://boxd.it/17vQRp,2,,,2020-04-22
2020-05-02,The Breakfast Club,1985,https://boxd.it/17vb71,0.5,,netflix,2020-04-23
2020-05-02,Casque d'Or,1952,https://boxd.it/17w6Pp,4,,medeiafilmes,2020-04-25
2020-05-02,Praça  Walt Disney,2011,https://boxd.it/17vTQ5,2.5,,,2020-04-26
2020-05-02,A Peste da Janice,2007,https://boxd.it/17vU05,2,,youtube,2020-04-26
2020-05-02,River's memory,2013,https://boxd.it/17vUit,2.5,,,2020-04-27
2020-05-02,Julho,2019,https://boxd.it/17vUuf,1.5,,,2020-04-27
2020-05-02,Coração É Terra que Ninguém Vê,2018,https://boxd.it/17vVHT,1,,,2020-04-27
2020-05-02,Moonlight,2016,https://boxd.it/17wad5,4.5,Yes,off,2020-04-29
2020-05-02,Tous les rêves du monde,2017,https://boxd.it/17w7DJ,3,,,2020-04-30
2020-05-02,Summer Ball,2019,https://boxd.it/17vW5r,4,,,2020-05-01
2020-05-02,The Most Beloved,2019,https://boxd.it/17vWCb,2,,,2020-05-01
2020-05-03,A Mulher que Sou,2019,https://boxd.it/17AYYt,2,,,2020-05-02
2020-05-03,Tea for Two,2018,https://boxd.it/17BFzh,0.5,,,2020-05-02
2020-05-03,I don't live here anymore,2019,https://boxd.it/17BO9x,4,,,2020-05-02
2020-05-03,Livro e Meio,2019,https://boxd.it/17BX4V,4,,,2020-05-02
2020-05-03,Só Sei Que Foi Assim,2019,https://boxd.it/17Ckgv,3,,,2020-05-02
2020-05-03,Duda,2019,https://boxd.it/17CyWv,2,,,2020-05-02
2020-05-04,Avoada,2019,https://boxd.it/17KgTJ,2,,,2020-05-03
2020-05-04,Name of Baptism — Frances,2019,https://boxd.it/17Kh5Z,2,,,2020-05-03
2020-05-04,A Profundidade da Areia,2019,https://boxd.it/17KH0r,2,,,2020-05-03
2020-05-04,Partir,2018,https://boxd.it/17KIIf,1,,,2020-05-03
2020-05-04,Amnestia,2018,https://boxd.it/17KZfT,1.5,,,2020-05-03
2020-05-04,31 de março Brazil,2019,https://boxd.it/17L4qR,4,,,2020-05-03
2020-05-04,Um Ensaio Sobre Ausência,2018,https://boxd.it/17LqrR,1,,,2020-05-03
2020-05-05,Le Bonheur,1965,https://boxd.it/17Rlsx,4.5,,off,2020-05-04
2020-05-06,Sweet Bean,2015,https://boxd.it/17ZLTF,3.5,,medeiafilmes,2020-05-04
2020-05-06,Nove Águas,2019,https://boxd.it/180oYp,2,,,2020-05-05
2020-05-06,Frogs,2019,https://boxd.it/180rz3,3,,,2020-05-05
2020-05-06,Contra-Filé,2019,https://boxd.it/180Kt9,4,,,2020-05-05
2020-05-06,Being John Malkovich,1999,https://boxd.it/1829Vp,2.5,,tv,2020-05-05
2020-05-09,Legítima Defesa,2017,https://boxd.it/18kRvV,3,,tv,2020-05-06
2020-05-09,Buddies,2013,https://boxd.it/18lkv1,1,,,2020-05-06
2020-05-09,Street of Shame,1956,https://boxd.it/18nyox,3,,,2020-05-08
