,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
0,Australia,2016,6,B-Blood and blood forming organs,Million of national currency units,667.0
1,Australia,2016,6,M-Musculo-skeletal system,Million US$ at exchange rate,316.7
2,Australia,2016,6,M-Musculo-skeletal system,Million of national currency units,426.0
3,Australia,2016,6,R03-Drugs for obstructive airway diseases,Million of national currency units,629.0
4,Australia,2016,6,B-Blood and blood forming organs,Million US$ at exchange rate,495.8
5,Australia,2016,6,B-Blood and blood forming organs,"Million US$, purchasing power parity",460.0
6,Australia,2016,6,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,467.6
7,Australia,2016,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,361.3
8,Australia,2016,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",14.9
9,Australia,2016,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",335.1
10,Australia,2016,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,486.0
11,Australia,2016,6,M-Musculo-skeletal system,"/capita, US$ exchange rate",13.1
12,Australia,2016,6,M-Musculo-skeletal system,"Million US$, purchasing power parity",293.8
13,Australia,2016,6,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",12.1
14,Australia,2016,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",18.1
15,Australia,2016,6,C09-Agents acting on the Renin-Angiotensin system,% of total sales,4.2
16,Australia,2016,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",19.5
17,Australia,2016,6,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",19.0
18,Australia,2016,6,B-Blood and blood forming organs,% of total sales,4.4
19,Australia,2016,6,B-Blood and blood forming organs,"/capita, US$ exchange rate",20.5
20,Australia,2016,6,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",438.6
21,Australia,2016,6,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",19.3
22,Australia,2016,6,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",17.9
23,Australia,2016,6,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",433.7
24,Australia,2016,6,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,472.8
25,Australia,2016,6,R03-Drugs for obstructive airway diseases,% of total sales,4.1
26,Australia,2016,6,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,636.0
27,Australia,2016,6,R-Respiratory system,"Million US$, purchasing power parity",489.6
28,Australia,2016,6,R-Respiratory system,"/capita, US$ exchange rate",21.8
29,Australia,2016,6,R-Respiratory system,Million US$ at exchange rate,527.8
30,Australia,2016,6,C08-Calcium channel blockers,Million of national currency units,133.0
31,Australia,2016,6,R-Respiratory system,"/capita, US$ purchasing power parity",20.2
32,Australia,2016,6,R-Respiratory system,% of total sales,4.6
33,Australia,2016,6,C07-Beta blocking agents,"Million US$, purchasing power parity",105.5
34,Australia,2016,6,C07-Beta blocking agents,Million US$ at exchange rate,113.7
35,Australia,2016,6,C07-Beta blocking agents,Million of national currency units,153.0
36,Australia,2016,6,C07-Beta blocking agents,% of total sales,1.0
37,Australia,2016,6,R-Respiratory system,Million of national currency units,710.0
38,Australia,2016,6,C07-Beta blocking agents,"/capita, US$ exchange rate",4.7
39,Australia,2016,6,C07-Beta blocking agents,"/capita, US$ purchasing power parity",4.4
40,Australia,2016,6,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",42.5
41,Australia,2016,6,A-Alimentary tract and metabolism,Million US$ at exchange rate,1028.1
42,Australia,2016,6,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",953.7
43,Australia,2016,6,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",39.4
44,Australia,2016,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,3.2
45,Australia,2016,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",13.9
46,Australia,2016,6,A-Alimentary tract and metabolism,% of total sales,9.0
47,Australia,2016,6,C08-Calcium channel blockers,"/capita, US$ exchange rate",4.1
48,Australia,2016,6,C08-Calcium channel blockers,Million US$ at exchange rate,98.9
49,Australia,2016,6,C08-Calcium channel blockers,"Million US$, purchasing power parity",91.7
50,Australia,2016,6,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",3.8
51,Australia,2016,6,A-Alimentary tract and metabolism,Million of national currency units,1383.0
52,Australia,2016,6,M-Musculo-skeletal system,% of total sales,2.8
53,Australia,2016,6,C08-Calcium channel blockers,% of total sales,0.9
54,Australia,2016,6,A02A-Antacids,% of total sales,0.0
55,Australia,2016,6,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",10.2
56,Australia,2016,6,G-Genito urinary system and sex hormones,% of total sales,2.3
57,Australia,2016,6,A02A-Antacids,"Million US$, purchasing power parity",0.0
58,Australia,2016,6,A02A-Antacids,Million US$ at exchange rate,0.0
59,Australia,2016,6,A02A-Antacids,"/capita, US$ purchasing power parity",0.0
60,Australia,2016,6,A02A-Antacids,"/capita, US$ exchange rate",0.0
61,Australia,2016,6,J-Antiinfectives for systemic use,Million of national currency units,3422.0
62,Australia,2016,6,C-Cardiovascular system,Million of national currency units,1860.0
63,Australia,2016,6,J-Antiinfectives for systemic use,Million US$ at exchange rate,2543.8
64,Australia,2016,6,G-Genito urinary system and sex hormones,Million of national currency units,359.0
65,Australia,2016,6,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",247.6
66,Australia,2016,6,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",11.0
67,Australia,2016,6,G-Genito urinary system and sex hormones,Million US$ at exchange rate,266.9
68,Australia,2016,6,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",191.7
69,Australia,2016,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",8.5
70,Australia,2016,6,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,206.7
71,Australia,2016,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,224.0
72,Australia,2016,6,G03-Sex hormones and modulators of the genital system,% of total sales,1.8
73,Australia,2016,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",7.9
74,Australia,2016,6,G03-Sex hormones and modulators of the genital system,Million of national currency units,278.0
75,Australia,2016,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",% of total sales,1.5
76,Australia,2016,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",6.4
77,Australia,2016,6,A02A-Antacids,Million of national currency units,0.0
78,Australia,2016,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,166.5
79,Australia,2016,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",6.9
80,Australia,2016,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",154.5
81,Australia,2016,6,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",20.2
82,Australia,2016,6,C10-Lipid modifying agents,"Million US$, purchasing power parity",488.9
83,Australia,2016,6,C10-Lipid modifying agents,"/capita, US$ exchange rate",21.8
84,Australia,2016,6,J01-Antibacterials for systemic use,% of total sales,2.6
85,Australia,2016,6,C10-Lipid modifying agents,% of total sales,4.6
86,Australia,2016,6,Products not elsewhere classified,% of total sales,28.5
87,Australia,2016,6,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",11.2
88,Australia,2016,6,Products not elsewhere classified,"Million US$, purchasing power parity",3003.8
89,Australia,2016,6,Products not elsewhere classified,Million of national currency units,4356.0
90,Australia,2016,6,Products not elsewhere classified,Million US$ at exchange rate,3238.1
91,Australia,2016,6,Products not elsewhere classified,"/capita, US$ exchange rate",133.9
92,Australia,2016,6,C10-Lipid modifying agents,Million of national currency units,709.0
93,Australia,2016,6,C10-Lipid modifying agents,Million US$ at exchange rate,527.1
94,Australia,2016,6,Products not elsewhere classified,"/capita, US$ purchasing power parity",124.2
95,Australia,2016,6,C-Cardiovascular system,% of total sales,12.2
96,Australia,2016,6,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",2359.7
